datahora,country,estado,municipio,bioma,Latitude,Longitude
9/1/20,Brasil,TOCANTINS,ARAGUAINA,Amazonia,-7.363,-48.702
9/1/20,Brasil,MARANHAO,TUNTUM,Cerrado,-6.04,-44.785
9/1/20,Brasil,TOCANTINS,PALMAS,Cerrado,-10.213,-48.075
9/1/20,Brasil,PARA,CURRALINHO,Amazonia,-1.592,-50.073
9/1/20,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,-10.056,-46.137
9/1/20,Brasil,PARA,ACARA,Amazonia,-2.091,-48.512
9/1/20,Brasil,MARANHAO,TUNTUM,Cerrado,-6.042,-44.796
9/1/20,Brasil,TOCANTINS,NOVO ACORDO,Cerrado,-10.239,-47.261
9/1/20,Brasil,MARANHAO,FORTALEZA DOS NOGUEIRAS,Cerrado,-6.974,-45.938
9/1/20,Brasil,TOCANTINS,ARAGUACEMA,Cerrado,-9.137,-49.65
9/1/20,Brasil,MARANHAO,COLINAS,Cerrado,-6.131,-44.256
9/1/20,Brasil,MARANHAO,NOVA IORQUE,Cerrado,-6.703,-44.023
9/1/20,Brasil,TOCANTINS,NOVO ACORDO,Cerrado,-10.244,-47.273
9/1/20,Brasil,MARANHAO,LORETO,Cerrado,-6.847,-45.074
9/1/20,Brasil,MARANHAO,BALSAS,Cerrado,-8.728,-46.569
9/1/20,Brasil,TOCANTINS,NOVO ACORDO,Cerrado,-10.242,-47.255
9/1/20,Brasil,MARANHAO,MONTES ALTOS,Cerrado,-5.896,-46.949
9/1/20,Brasil,MARANHAO,LORETO,Cerrado,-6.848,-45.085
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.14,-44.255
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.099,-44.419
9/1/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.757,-47.864
9/1/20,Brasil,AMAPA,MACAPA,Amazonia,0.774,-50.719
9/1/20,Brasil,PARA,BREVES,Amazonia,-1.571,-50.405
9/1/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.77,-47.862
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.115,-44.492
9/1/20,Brasil,TOCANTINS,LIZARDA,Cerrado,-9.662,-47.042
9/1/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.759,-47.879
9/1/20,Brasil,TOCANTINS,SAO SEBASTIAO DO TOCANTINS,Amazonia,-5.257,-48.278
9/1/20,Brasil,MARANHAO,COLINAS,Cerrado,-6.093,-44.262
9/1/20,Brasil,TOCANTINS,RIO SONO,Cerrado,-9.689,-47.118
9/1/20,Brasil,MARANHAO,MIRADOR,Cerrado,-6.127,-44.439
9/1/20,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,-9.58,-46.002
